¬nombre¬1¬2¬rating¬reviews¬price¬ciudad¬comida¬zona¬fecha¬hora¬clave
26¬Carl's Jr¬4,7(2.519) · €¬Hamburguesa · Calle de Fuencarral, 135¬4,7¬2.519¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Carl's Jr Carl's Jr 22-08-2022
27¬Cafetería HD¬4,3(3.409) · €€¬Restaurante · C. de Guzmán el Bueno, 67¬4,3¬3.409¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Cafetería HD Cafetería HD 22-08-2022
28¬Burger House¬1,8(12)¬Hamburguesa · C. de Hilarión Eslava, 44¬1,8¬12¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Burger House Burger House 22-08-2022
29¬Corner58¬4,6(58)¬Hamburguesa · C. de Cea Bermúdez, 58¬4,6¬58¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Corner58 Corner58 22-08-2022
30¬Che Pibita restaurante¬4,4(804) · €¬Argentina · Calle de Modesto Lafuente, 64¬4,4¬804¬  €¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Che Pibita restaurante Che Pibita restaurante 22-08-2022
31¬EL PERRO Y LA GALLETA Chamberí¬4,1(1.392) · €€¬Restaurante · C. de Carranza, 10¬4,1¬1.392¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬EL PERRO Y LA GALLETA Chamberí EL PERRO Y LA GALLETA Chamberí 22-08-2022
32¬La Sucursal Chamberi¬4,3(696) · €€¬Parrilla · Calle de Sandoval, 4¬4,3¬696¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬La Sucursal Chamberi La Sucursal Chamberi 22-08-2022
33¬Restaurante Pim Pam Madrid¬4,2(797) · €€¬Parrilla · Calle de Sandoval, 15¬4,2¬797¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante Pim Pam Madrid Restaurante Pim Pam Madrid 22-08-2022
34¬Dog & Fox urban kitchen¬4,6(264)¬Restaurante · C. de Rodríguez San Pedro, 64, local 1¬4,6¬264¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Dog & Fox urban kitchen Dog & Fox urban kitchen 22-08-2022
35¬El Picaporte¬4,4(1.056) · €€¬Restaurante · Calle de García de Paredes, 51¬4,4¬1.056¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬El Picaporte El Picaporte 22-08-2022
36¬Jimbo Smokehouse¬4,3(2.476) · €€¬Americana · Pl. del Descubridor Diego de Ordás, 4¬4,3¬2.476¬  €€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Jimbo Smokehouse Jimbo Smokehouse 22-08-2022
37¬MUERDO¬5,0(59)¬Restaurante · C. de Blasco de Garay, 96¬5,0¬59¬¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬MUERDO MUERDO 22-08-2022
38¬Restaurante Membibre¬4,4(1.131) · €€€¬Restaurante · C. de Guzmán el Bueno, 40¬4,4¬1.131¬  €€€¬Madrid¬Hamburguesa¬Chamberí¬22-08-2022¬16¬Restaurante Membibre Restaurante Membibre 22-08-2022
